location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
8570,"Goodland","pm25",7.1,"µg/m³","2025-11-12T06:00:00Z","2025-11-11T23:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4.5,"µg/m³","2025-11-12T07:00:00Z","2025-11-12T00:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4.2,"µg/m³","2025-11-12T08:00:00Z","2025-11-12T01:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.8,"µg/m³","2025-11-12T09:00:00Z","2025-11-12T02:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.8,"µg/m³","2025-11-12T10:00:00Z","2025-11-12T03:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.5,"µg/m³","2025-11-12T11:00:00Z","2025-11-12T04:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.8,"µg/m³","2025-11-12T12:00:00Z","2025-11-12T05:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4,"µg/m³","2025-11-12T13:00:00Z","2025-11-12T06:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4.4,"µg/m³","2025-11-12T14:00:00Z","2025-11-12T07:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",7.1,"µg/m³","2025-11-12T15:00:00Z","2025-11-12T08:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",11.4,"µg/m³","2025-11-12T16:00:00Z","2025-11-12T09:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",7.7,"µg/m³","2025-11-12T17:00:00Z","2025-11-12T10:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4.4,"µg/m³","2025-11-12T18:00:00Z","2025-11-12T11:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.1,"µg/m³","2025-11-12T19:00:00Z","2025-11-12T12:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.1,"µg/m³","2025-11-12T20:00:00Z","2025-11-12T13:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4.2,"µg/m³","2025-11-12T21:00:00Z","2025-11-12T14:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",4.4,"µg/m³","2025-11-12T22:00:00Z","2025-11-12T15:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.7,"µg/m³","2025-11-12T23:00:00Z","2025-11-12T16:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
8570,"Goodland","pm25",3.6,"µg/m³","2025-11-13T00:00:00Z","2025-11-12T17:00:00-07:00","America/Denver",39.342801,-101.702996,,,,"Unknown Governmental Organization","AirNow"
